Year,ID,Name,Import,Export,ImpIDA,ImpIDB,ImpIDC,ImpIDD,ImpIDE,ImpIDF,ImpIDG,ImpIDH,ImpIDI,ImpIDJ,ImportA,ImportB,ImportC,ImportD,ImportE,ImportF,ImportG,ImportH,ImportI,ImportJ,ExpIDA,ExpIDB,ExpIDC,ExpIDD,ExpIDE,ExpIDF,ExpIDG,ExpIDH,ExpIDI,ExpIDJ,ExportA,ExportB,ExportC,ExportD,ExportE,ExportF,ExportG,ExportH,ExportI,ExportJ
2017,152,Chile,,2015.944,,,,,,,,,,,,,,,,,,,,,032,,,,,,,,,,2015.944,,,,,,,,,
2017,156,China,313007.765,1397307.698,643,344,104,408,,,,,,,142916.081,119797.271,39313.337,10981.076,,,,,,,344,446,496,704,104,418,408,508,414,,827599.77,359502.315,110347.621,74637.502,21324.996,3717.123,132.21,43.556,2.605,
2017,162,Christmas Isds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,166,Cocos Isds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,170,Colombia,3150.196,434.473,218,,,,,,,,,,3150.196,,,,,,,,,,218,,,,,,,,,,434.473,,,,,,,,,
2017,174,Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,175,Mayotte (Overseas France),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,178,Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,180,Dem. Rep. of the Congo,41895.827,,894,,,,,,,,,,41895.827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,184,Cook Isds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,188,Costa Rica,453.961,1464.283,222,320,,,,,,,,,440.886,13.075,,,,,,,,,222,,,,,,,,,,1464.283,,,,,,,,,
2017,191,Croatia,725829.079,387171.114,348,070,705,688,757,380,203,,,,238119.622,206673.482,145466.86,96163.238,21860.956,16672.452,872.469,,,,705,070,348,688,380,203,757,100,,,123922.702,104866.469,91629.685,63876.72,1881.316,898.555,90.372,5.295,,
